id,model,maxae,horizon,context,eta,dataset
9,ARIMA,546.1547477414138,5,12,10,.
8,ARIMA,1229.8390301687764,5,12,10,.
2,ARIMA,667.6849923200296,5,12,10,.
6,ARIMA,784.9264397417608,5,12,10,.
11,ARIMA,919.1417955881695,5,12,10,.
1,ARIMA,173.51805182940535,5,12,10,.
5,ARIMA,1386.367043755338,5,12,10,.
4,XGBoost,120.0,5,12,10,.
10,XGBoost,149.0,5,12,10,.
3,XGBoost,175.9822540283203,5,12,10,.
9,XGBoost,145.0,5,12,10,.
8,XGBoost,133.66139221191406,5,12,10,.
2,XGBoost,122.0,5,12,10,.
6,XGBoost,118.0,5,12,10,.
11,XGBoost,131.0,5,12,10,.
1,XGBoost,128.0,5,12,10,.
5,XGBoost,161.0,5,12,10,.
4,NHITS,120.0,5,12,10,.
10,NHITS,149.0,5,12,10,.
3,NHITS,165.77371215820312,5,12,10,.
9,NHITS,200.91622924804688,5,12,10,.
8,NHITS,137.699312210083,5,12,10,.
2,NHITS,122.0,5,12,10,.
6,NHITS,118.0,5,12,10,.
11,NHITS,131.0,5,12,10,.
1,NHITS,128.0,5,12,10,.
5,NHITS,392.95599365234375,5,12,10,.
4,ETS,287.3719889734849,5,12,10,.
10,ETS,557.4800992941721,5,12,10,.
3,ETS,994.7922160750596,5,12,10,.
9,ETS,626.404255486948,5,12,10,.
8,ETS,719.9463075091397,5,12,10,.
2,ETS,652.1510503410012,5,12,10,.
6,ETS,577.5636488179106,5,12,10,.
11,ETS,722.9827799785082,5,12,10,.
1,ETS,128.0,5,12,10,.
5,ETS,820.2788196339116,5,12,10,.
4,HBML (c),387.5175273002296,5,12,10,.
10,HBML (c),154.1903540946356,5,12,10,.
3,HBML (c),1106.5741558905252,5,12,10,.
9,HBML (c),626.404255486948,5,12,10,.
8,HBML (c),1069.546295175472,5,12,10,.
2,HBML (c),667.6849923200296,5,12,10,.
6,HBML (c),612.213305561053,5,12,10,.
11,HBML (c),402.79784337688034,5,12,10,.
1,HBML (c),128.0,5,12,10,.
5,HBML (c),1386.367043755338,5,12,10,.
4,HBML (d),305.0,5,12,10,.
10,HBML (d),464.06170188190345,5,12,10,.
3,HBML (d),2503.6499478136557,5,12,10,.
9,HBML (d),445.1244671576733,5,12,10,.
8,HBML (d),734.2718007924684,5,12,10,.
2,HBML (d),552.512132802153,5,12,10,.
6,HBML (d),577.5636488179106,5,12,10,.
11,HBML (d),741.822485087428,5,12,10,.
1,HBML (d),128.0,5,12,10,.
5,HBML (d),781.6510881138572,5,12,10,.
4,HBML (fd),187.56098653421788,5,12,10,.
10,HBML (fd),506.5738354448752,5,12,10,.
3,HBML (fd),1106.5741558905252,5,12,10,.
9,HBML (fd),610.4943296074099,5,12,10,.
8,HBML (fd),1069.546295175472,5,12,10,.
2,HBML (fd),652.1510503410012,5,12,10,.
