id,model,rmse,horizon,context,eta,dataset
6,NODE,35.108211898528964,5,12,10,.
11,NODE,36.431666482315904,5,12,10,.
1,NODE,36.05424944153779,5,12,10,.
5,NODE,38.415483084888464,5,12,10,.
4,ARIMA,23.966332437634943,5,12,10,.
10,ARIMA,22.292945173156873,5,12,10,.
3,ARIMA,115.42115913010409,5,12,10,.
9,ARIMA,43.79519677512366,5,12,10,.
8,ARIMA,58.565683626448525,5,12,10,.
2,ARIMA,50.61055813169624,5,12,10,.
6,ARIMA,44.892052891418345,5,12,10,.
11,ARIMA,39.23412469123714,5,12,10,.
1,ARIMA,18.424906912492578,5,12,10,.
5,ARIMA,93.00226417451148,5,12,10,.
4,XGBoost,26.77075662162002,5,12,10,.
10,XGBoost,30.538271348178647,5,12,10,.
3,XGBoost,38.137553844416566,5,12,10,.
9,XGBoost,37.45219262714656,5,12,10,.
8,XGBoost,33.96986361554332,5,12,10,.
2,XGBoost,33.28963823254136,5,12,10,.
6,XGBoost,25.248856209929013,5,12,10,.
11,XGBoost,29.76483922187149,5,12,10,.
1,XGBoost,22.196203189169537,5,12,10,.
5,XGBoost,46.98187596850057,5,12,10,.
4,NHITS,22.887479666794125,5,12,10,.
10,NHITS,25.43338527049798,5,12,10,.
3,NHITS,29.740601980649068,5,12,10,.
9,NHITS,35.20708081493237,5,12,10,.
8,NHITS,34.37831238303439,5,12,10,.
2,NHITS,27.205160217179465,5,12,10,.
6,NHITS,22.31671657740695,5,12,10,.
11,NHITS,25.841946633176537,5,12,10,.
1,NHITS,19.45687861171377,5,12,10,.
5,NHITS,45.76844915475723,5,12,10,.
4,ETS,21.209107178080806,5,12,10,.
10,ETS,26.75874983048753,5,12,10,.
3,ETS,75.75524858042999,5,12,10,.
9,ETS,48.98416887954005,5,12,10,.
8,ETS,52.637806751212,5,12,10,.
2,ETS,72.18328103341305,5,12,10,.
6,ETS,33.6800899798607,5,12,10,.
11,ETS,31.37200857211195,5,12,10,.
1,ETS,17.465852306180377,5,12,10,.
5,ETS,90.10404902859744,5,12,10,.
4,HBML (c),26.629342723240303,5,12,10,.
10,HBML (c),26.5685350624753,5,12,10,.
3,HBML (c),56.86726907949575,5,12,10,.
9,HBML (c),40.2842607200864,5,12,10,.
8,HBML (c),41.50849235545833,5,12,10,.
2,HBML (c),46.26310988308618,5,12,10,.
6,HBML (c),30.625472768848716,5,12,10,.
11,HBML (c),29.040680363424908,5,12,10,.
1,HBML (c),22.99907290002088,5,12,10,.
5,HBML (c),60.698896007822974,5,12,10,.
4,HBML (d),24.712921014631565,5,12,10,.
10,HBML (d),27.129387031050737,5,12,10,.
3,HBML (d),69.37068464191414,5,12,10,.
9,HBML (d),33.39591171754534,5,12,10,.
8,HBML (d),43.626071882150896,5,12,10,.
2,HBML (d),41.53976277107856,5,12,10,.
6,HBML (d),27.59192072312839,5,12,10,.
11,HBML (d),35.325833189081095,5,12,10,.
1,HBML (d),22.29639099357224,5,12,10,.
5,HBML (d),49.26187746339023,5,12,10,.
4,HBML (fd),23.48961224264656,5,12,10,.
10,HBML (fd),27.130976431501907,5,12,10,.
3,HBML (fd),49.34978170283358,5,12,10,.
9,HBML (fd),33.11789423725355,5,12,10,.
8,HBML (fd),40.28870241657433,5,12,10,.
2,HBML (fd),42.61431872325344,5,12,10,.
6,HBML (fd),27.98110070259741,5,12,10,.
11,HBML (fd),25.876972803211903,5,12,10,.
1,HBML (fd),21.91429717406886,5,12,10,.
5,HBML (fd),57.19754264938954,5,12,10,.
4,HBML-SFH,22.22058552341982,5,12,10,.
10,HBML-SFH,24.96249664433491,5,12,10,.
3,HBML-SFH,43.37341768815065,5,12,10,.
9,HBML-SFH,37.24360456874486,5,12,10,.
8,HBML-SFH,39.574874601506906,5,12,10,.
2,HBML-SFH,31.074030441944352,5,12,10,.
6,HBML-SFH,27.185416384614356,5,12,10,.
11,HBML-SFH,30.831217784004828,5,12,10,.
1,HBML-SFH,17.560624335854868,5,12,10,.
5,HBML-SFH,46.36737634707333,5,12,10,.
4,HBML-SFHDF,21.22949604818936,5,12,10,.
10,HBML-SFHDF,22.30491277220788,5,12,10,.
3,HBML-SFHDF,31.548868892257698,5,12,10,.
9,HBML-SFHDF,36.07325179229452,5,12,10,.
8,HBML-SFHDF,35.83877654180269,5,12,10,.
2,HBML-SFHDF,28.34306215030718,5,12,10,.
6,HBML-SFHDF,24.20977934078083,5,12,10,.
